id_run,data,modelo,dataset,combinacao,fold,acuracia,precisao,recall,f1,auc,perda_treino
52,20260812,resnet50,CR,gadf,4,0.8484848484848485,0.8823529411764706,0.8333333333333334,0.8571428571428571,0.9370370370370371,0.02388659298386691
53,20260812,resnet50,CR,gadf,5,0.9393939393939394,1.0,0.8947368421052632,0.9444444444444444,0.9661654135338346,0.09120601413971079
54,20260812,resnet50,CR,gadf,media,0.8787878787878789,0.9081957344341245,0.8678362573099415,0.8865849042319629,0.9524923419660263,
55,20260812,resnet50,CR,img+recplot,1,0.9696969696969697,0.9473684210526315,1.0,0.972972972972973,1.0,0.024366343684960157
56,20260812,resnet50,CR,img+recplot,2,0.8787878787878788,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9814814814814815,0.053905735773566575
57,20260812,resnet50,CR,img+recplot,3,0.9393939393939394,1.0,0.8888888888888888,0.9411764705882353,1.0,0.11973383784892835
58,20260813,resnet50,CR,img+recplot,4,0.9696969696969697,1.0,0.9444444444444444,0.9714285714285714,1.0,0.007514247978438756
59,20260813,resnet50,CR,img+recplot,5,0.9696969696969697,1.0,0.9473684210526315,0.972972972972973,0.9962406015037595,0.006845166873452919
60,20260813,resnet50,CR,img+recplot,media,0.9454545454545455,0.967251461988304,0.9339181286549708,0.9494879753703284,0.9955444165970482,
61,20260813,resnet50,CR,img+mtf,1,0.9696969696969697,1.0,0.9444444444444444,0.9714285714285714,0.9962962962962963,0.05474600844484355
62,20260813,resnet50,CR,img+mtf,2,0.9696969696969697,0.9473684210526315,1.0,0.972972972972973,0.962962962962963,0.019427697581704706
63,20260813,resnet50,CR,img+mtf,3,0.9393939393939394,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9925925925925926,0.011824141892637792
64,20260813,resnet50,CR,img+mtf,4,0.9696969696969697,0.9473684210526315,1.0,0.972972972972973,0.9962962962962963,0.00998035489049341
65,20260813,resnet50,CR,img+mtf,5,0.9696969696969697,0.95,1.0,0.9743589743589743,0.9924812030075189,0.01251189609008309
66,20260813,resnet50,CR,img+mtf,media,0.9636363636363636,0.9578362573099414,0.9777777777777779,0.9672355872355872,0.9881258702311333,
67,20260813,resnet50,CR,img+gasf,1,1.0,1.0,1.0,1.0,1.0,0.027985734108369797
68,20260813,resnet50,CR,img+gasf,2,0.9696969696969697,0.9473684210526315,1.0,0.972972972972973,1.0,0.006354711159864175
69,20260813,resnet50,CR,img+gasf,3,0.9696969696969697,0.9473684210526315,1.0,0.972972972972973,1.0,0.027836952799199417
70,20260813,resnet50,CR,img+gasf,4,1.0,1.0,1.0,1.0,1.0,0.011649998813352016
71,20260813,resnet50,CR,img+gasf,5,1.0,1.0,1.0,1.0,1.0,0.06021872804766255
72,20260813,resnet50,CR,img+gasf,media,0.9878787878787879,0.9789473684210526,1.0,0.9891891891891891,1.0,
73,20260813,resnet50,CR,img+gadf,1,0.9696969696969697,0.9473684210526315,1.0,0.972972972972973,1.0,0.012583084920022105
74,20260813,resnet50,CR,img+gadf,2,0.9393939393939394,0.9,1.0,0.9473684210526315,1.0,0.004049334519160246
75,20260813,resnet50,CR,img+gadf,3,0.9696969696969697,0.9473684210526315,1.0,0.972972972972973,0.9962962962962963,0.03708997042433891
76,20260813,resnet50,CR,img+gadf,4,0.9696969696969697,0.9473684210526315,1.0,0.972972972972973,1.0,0.07456789024373782
77,20260813,resnet50,CR,img+gadf,5,0.9696969696969697,1.0,0.9473684210526315,0.972972972972973,1.0,0.00925364184825282
78,20260813,resnet50,CR,img+gadf,media,0.9636363636363636,0.9484210526315788,0.9894736842105264,0.9678520625889047,0.9992592592592594,
79,20260813,resnet50,CR,img+recplot+mtf,1,0.8484848484848485,0.782608695652174,1.0,0.8780487804878049,0.9777777777777779,0.03910684099953089
80,20260813,resnet50,CR,img+recplot+mtf,2,1.0,1.0,1.0,1.0,1.0,0.035045890154183974
81,20260813,resnet50,CR,img+recplot+mtf,3,0.9393939393939394,0.9,1.0,0.9473684210526315,0.9888888888888889,0.022520172143621103
82,20260813,resnet50,CR,img+recplot+mtf,4,0.9696969696969697,1.0,0.9444444444444444,0.9714285714285714,0.9962962962962963,0.0335684130633516
83,20260813,resnet50,CR,img+recplot+mtf,5,0.9393939393939394,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9962406015037595,0.03094018716365099
84,20260813,resnet50,CR,img+recplot+mtf,media,0.9393939393939394,0.9259954233409611,0.9783625730994153,0.9488428388043278,0.9918407128933445,
85,20260813,resnet50,CR,img+recplot+gasf,1,0.9393939393939394,0.9,1.0,0.9473684210526315,0.9740740740740741,0.07418777208243098
86,20260813,resnet50,CR,img+recplot+gasf,2,0.9090909090909091,0.8947368421052632,0.9444444444444444,0.918918918918919,0.9925925925925926,0.007654508326335677
87,20260813,resnet50,CR,img+recplot+gasf,3,0.9393939393939394,1.0,0.8888888888888888,0.9411764705882353,0.9925925925925926,0.08564362521948558
88,20260813,resnet50,CR,img+recplot+gasf,4,0.9696969696969697,1.0,0.9444444444444444,0.9714285714285714,0.9962962962962963,0.018399317865259945
89,20260813,resnet50,CR,img+recplot+gasf,5,0.9393939393939394,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.981203007518797,0.022650147904641926
90,20260813,resnet50,CR,img+recplot+gasf,media,0.9393939393939394,0.948421052631579,0.9450292397660819,0.9452521606081978,0.9873517126148705,
91,20260813,resnet50,CR,img+recplot+gadf,1,0.9090909090909091,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.9925925925925926,0.01985969641412209
92,20260813,resnet50,CR,img+recplot+gadf,2,0.9393939393939394,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9925925925925926,0.001582717491796107
93,20260813,resnet50,CR,img+recplot+gadf,3,0.9393939393939394,0.9,1.0,0.9473684210526315,0.9925925925925926,0.0797541796761964
94,20260813,resnet50,CR,img+recplot+gadf,4,0.9393939393939394,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9925925925925926,0.06759255954862706
95,20260813,resnet50,CR,img+recplot+gadf,5,0.9090909090909091,1.0,0.8421052631578947,0.9142857142857143,0.9887218045112782,0.005686599337163248
96,20260813,resnet50,CR,img+recplot+gadf,media,0.9272727272727274,0.9460130718954248,0.9239766081871345,0.9329657477025899,0.9918184349763297,
97,20260813,resnet50,CR,img+mtf+gasf,1,0.9393939393939394,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9740740740740741,0.03568718137934671
98,20260813,resnet50,CR,img+mtf+gasf,2,0.9393939393939394,0.9,1.0,0.9473684210526315,1.0,0.020680184908477322
99,20260813,resnet50,CR,img+mtf+gasf,3,0.9696969696969697,0.9473684210526315,1.0,0.972972972972973,0.9925925925925926,0.008924213791033253
100,20260813,resnet50,CR,img+mtf+gasf,4,0.9696969696969697,1.0,0.9444444444444444,0.9714285714285714,0.9925925925925926,0.04010108530720962
101,20260813,resnet50,CR,img+mtf+gasf,5,0.9696969696969697,0.95,1.0,0.9743589743589743,0.9962406015037595,0.039744154999165664
102,20260813,resnet50,CR,img+mtf+gasf,media,0.9575757575757576,0.9483625730994152,0.9777777777777779,0.9621146768515191,0.9910999721526037,
103,20260813,resnet50,CR,img+mtf+gadf,1,0.9393939393939394,0.9,1.0,0.9473684210526315,1.0,0.01778923503505731
104,20260813,resnet50,CR,img+mtf+gadf,2,0.9090909090909091,0.8571428571428571,1.0,0.9230769230769231,0.9962962962962963,0.020052461776815887
105,20260813,resnet50,CR,img+mtf+gadf,3,0.9696969696969697,0.9473684210526315,1.0,0.972972972972973,1.0,0.026252719357476702
106,20260813,resnet50,CR,img+mtf+gadf,4,1.0,1.0,1.0,1.0,1.0,0.003024645330567312
107,20260813,resnet50,CR,img+mtf+gadf,5,0.7878787878787878,1.0,0.631578947368421,0.7741935483870968,1.0,0.026517382835403884
108,20260813,resnet50,CR,img+mtf+gadf,media,0.9212121212121213,0.9409022556390976,0.9263157894736842,0.923522373097925,0.9992592592592594,
109,20260813,resnet50,CR,img+gasf+gadf,1,1.0,1.0,1.0,1.0,1.0,0.06409823053815801
110,20260813,resnet50,CR,img+gasf+gadf,2,1.0,1.0,1.0,1.0,1.0,0.014462767451602434
111,20260813,resnet50,CR,img+gasf+gadf,3,0.9696969696969697,0.9473684210526315,1.0,0.972972972972973,1.0,0.004206767264154873
112,20260813,resnet50,CR,img+gasf+gadf,4,1.0,1.0,1.0,1.0,1.0,0.021707100477734848
113,20260813,resnet50,CR,img+gasf+gadf,5,0.7575757575757576,1.0,0.5789473684210527,0.7333333333333333,0.9736842105263158,0.039173202930084826
114,20260813,resnet50,CR,img+gasf+gadf,media,0.9454545454545455,0.9894736842105264,0.9157894736842106,0.9412612612612612,0.9947368421052631,
115,20260813,resnet50,CR,img+recplot+mtf+gasf,1,1.0,1.0,1.0,1.0,1.0,0.023806264374538193
116,20260813,resnet50,CR,img+recplot+mtf+gasf,2,0.9696969696969697,1.0,0.9444444444444444,0.9714285714285714,0.9962962962962963,0.020274046920738847
117,20260813,resnet50,CR,img+recplot+mtf+gasf,3,0.9393939393939394,0.9,1.0,0.9473684210526315,0.9851851851851852,0.0672372208376016
118,20260813,resnet50,CR,img+recplot+mtf+gasf,4,0.9393939393939394,0.9,1.0,0.9473684210526315,0.9666666666666667,0.03580686789272087
119,20260813,resnet50,CR,img+recplot+mtf+gasf,5,0.9090909090909091,0.8636363636363636,1.0,0.926829268292683,0.9887218045112782,0.0922118372483445
120,20260813,resnet50,CR,img+recplot+mtf+gasf,media,0.9515151515151515,0.9327272727272726,0.9888888888888889,0.9585989363653035,0.9873739905318853,
121,20260813,resnet50,CR,img+recplot+mtf+gadf,1,0.9090909090909091,0.8571428571428571,1.0,0.9230769230769231,1.0,0.01079289916171027
122,20260813,resnet50,CR,img+recplot+mtf+gadf,2,0.696969696969697,0.6428571428571429,1.0,0.782608695652174,0.9555555555555556,0.07718332830284323
123,20260813,resnet50,CR,img+recplot+mtf+gadf,3,0.9090909090909091,0.8947368421052632,0.9444444444444444,0.918918918918919,0.9851851851851852,0.04370019445195794
124,20260813,resnet50,CR,img+recplot+mtf+gadf,4,0.9696969696969697,1.0,0.9444444444444444,0.9714285714285714,1.0,0.013143713411409408
125,20260813,resnet50,CR,img+recplot+mtf+gadf,5,0.9696969696969697,0.95,1.0,0.9743589743589743,0.9924812030075189,0.008866572095679917
126,20260813,resnet50,CR,img+recplot+mtf+gadf,media,0.890909090909091,0.8689473684210526,0.9777777777777779,0.9140784166871123,0.9866443887496519,
127,20260813,resnet50,CR,img+recplot+gasf+gadf,1,0.8787878787878788,0.8181818181818182,1.0,0.9,0.9851851851851852,0.04594387423380145
128,20260813,resnet50,CR,img+recplot+gasf+gadf,2,0.8484848484848485,0.782608695652174,1.0,0.8780487804878049,0.962962962962963,0.03688134578987956
129,20260813,resnet50,CR,img+recplot+gasf+gadf,3,0.9393939393939394,0.9,1.0,0.9473684210526315,1.0,0.029331230159316744
130,20260813,resnet50,CR,img+recplot+gasf+gadf,4,1.0,1.0,1.0,1.0,1.0,0.03518098293404494
131,20260813,resnet50,CR,img+recplot+gasf+gadf,5,0.8181818181818182,0.9333333333333333,0.7368421052631579,0.8235294117647058,0.9661654135338347,0.02543275209609419
132,20260813,resnet50,CR,img+recplot+gasf+gadf,media,0.8969696969696971,0.886824769433465,0.9473684210526315,0.9097893226610285,0.9828627123363965,
133,20260813,resnet50,CR,img+mtf+gasf+gadf,1,0.8787878787878788,0.8181818181818182,1.0,0.9,1.0,0.008890800537691186
134,20260813,resnet50,CR,img+mtf+gasf+gadf,2,1.0,1.0,1.0,1.0,1.0,0.047823219859440415
135,20260813,resnet50,CR,img+mtf+gasf+gadf,3,0.9696969696969697,1.0,0.9444444444444444,0.9714285714285714,0.9851851851851852,0.017237703332544436
136,20260813,resnet50,CR,img+mtf+gasf+gadf,4,1.0,1.0,1.0,1.0,1.0,0.02761679909391595
137,20260813,resnet50,CR,img+mtf+gasf+gadf,5,0.9696969696969697,1.0,0.9473684210526315,0.972972972972973,0.9924812030075189,0.0608289895712265
138,20260813,resnet50,CR,img+mtf+gasf+gadf,media,0.9636363636363636,0.9636363636363636,0.9783625730994153,0.968880308880309,0.9955332776385408,
139,20260813,resnet50,CR,img+recplot+mtf+gasf+gadf,1,0.9090909090909091,0.8571428571428571,1.0,0.9230769230769231,0.9703703703703704,0.015542324200006468
140,20260813,resnet50,CR,img+recplot+mtf+gasf+gadf,2,0.9090909090909091,0.8571428571428571,1.0,0.9230769230769231,1.0,0.03927126039551305
141,20260813,resnet50,CR,img+recplot+mtf+gasf+gadf,3,0.9393939393939394,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9814814814814815,0.03782587778654748
142,20260813,resnet50,CR,img+recplot+mtf+gasf+gadf,4,0.9393939393939394,0.9,1.0,0.9473684210526315,0.9925925925925926,0.019776604229783907
143,20260813,resnet50,CR,img+recplot+mtf+gasf+gadf,5,0.9090909090909091,0.9,0.9473684210526315,0.9230769230769231,0.9699248120300752,0.04265693868676733
144,20260813,resnet50,CR,img+recplot+mtf+gasf+gadf,media,0.9212121212121213,0.8917460317460317,0.9783625730994153,0.932208726945569,0.9828738512949039,
145,20260813,resnet50,CR,recplot+mtf,1,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9296296296296296,0.17942495178431273
146,20260813,resnet50,CR,recplot+mtf,2,0.7878787878787878,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.8703703703703705,0.042853868167315214
147,20260813,resnet50,CR,recplot+mtf,3,0.8484848484848485,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.9407407407407408,0.004545760424142438
148,20260813,resnet50,CR,recplot+mtf,4,0.8787878787878788,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9666666666666667,0.02732981913556744
149,20260813,resnet50,CR,recplot+mtf,5,0.8484848484848485,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.9473684210526315,0.018066472939348648
150,20260813,resnet50,CR,recplot+mtf,media,0.8363636363636363,0.8343965975544922,0.8783625730994151,0.8551893356771407,0.9309551656920079,
151,20260813,resnet50,CR,recplot+gasf,1,0.7878787878787878,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.9222222222222222,0.04315173898690513
152,20260813,resnet50,CR,recplot+gasf,2,0.9090909090909091,0.8571428571428571,1.0,0.9230769230769231,0.9407407407407408,0.0026016142177728136
153,20260813,resnet50,CR,recplot+gasf,3,0.8484848484848485,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.9222222222222223,0.07260975550993212
154,20260813,resnet50,CR,recplot+gasf,4,0.9090909090909091,0.8947368421052632,0.9444444444444444,0.918918918918919,0.951851851851852,0.03321790175063403
155,20260813,resnet50,CR,recplot+gasf,5,0.9393939393939394,0.9047619047619048,1.0,0.95,0.9736842105263158,0.0015661943471059203
